Any,Provincia,Comarca,CDMUN,Municipi,Codi_Sector,Descripcio_Sector,Consum [kWh],Observacions
2013,BARCELONA,BAGES,08018,BALSARENY,4,CONSTRUCCIO I OBRES PUBLIQUES,14361,
2013,BARCELONA,BAGES,08018,BALSARENY,6,TERCIARI,2618010,
2013,BARCELONA,BAGES,08018,BALSARENY,7,USOS DOMESTICS,4100517,
2013,BARCELONA,BARCELONES,08019,BARCELONA,1,PRIMARI,13411102,
2013,BARCELONA,BARCELONES,08019,BARCELONA,3,INDUSTRIAL,620320647,Inclou el consum del sector energètic.
2013,BARCELONA,BARCELONES,08019,BARCELONA,4,CONSTRUCCIO I OBRES PUBLIQUES,24114471,
2013,BARCELONA,BARCELONES,08019,BARCELONA,5,TRANSPORT,309525663,
2013,BARCELONA,BARCELONES,08019,BARCELONA,6,TERCIARI,3980552115,
2013,BARCELONA,BARCELONES,08019,BARCELONA,7,USOS DOMESTICS,2067650178,
2013,BARCELONA,BAIX LLOBREGAT,08020,BEGUES,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,BAIX LLOBREGAT,08020,BEGUES,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,BAIX LLOBREGAT,08020,BEGUES,4,CONSTRUCCIO I OBRES PUBLIQUES,170238,
2013,BARCELONA,BAIX LLOBREGAT,08020,BEGUES,6,TERCIARI,5518407,
2013,BARCELONA,BAIX LLOBREGAT,08020,BEGUES,7,USOS DOMESTICS,11919477,
2013,BARCELONA,ANOIA,08021,BELLPRAT,1,PRIMARI,18654,
2013,BARCELONA,ANOIA,08021,BELLPRAT,4,CONSTRUCCIO I OBRES PUBLIQUES,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08021,BELLPRAT,6,TERCIARI,45236,
2013,BARCELONA,ANOIA,08021,BELLPRAT,7,USOS DOMESTICS,124753,
2013,BARCELONA,BERGUEDA,08022,BERGA,1,PRIMARI,18941,
2013,BARCELONA,BERGUEDA,08022,BERGA,3,INDUSTRIAL,15462762,
2013,BARCELONA,BERGUEDA,08022,BERGA,4,CONSTRUCCIO I OBRES PUBLIQUES,523238,
2013,BARCELONA,BERGUEDA,08022,BERGA,6,TERCIARI,24533225,
2013,BARCELONA,BERGUEDA,08022,BERGA,7,USOS DOMESTICS,24166386,
2013,BARCELONA,VALLES ORIENTAL,08023,BIGUES I RIELLS,1,PRIMARI,995941,
2013,BARCELONA,VALLES ORIENTAL,08023,BIGUES I RIELLS,3,INDUSTRIAL,7158095,
2013,BARCELONA,VALLES ORIENTAL,08023,BIGUES I RIELLS,4,CONSTRUCCIO I OBRES PUBLIQUES,314464,
2013,BARCELONA,VALLES ORIENTAL,08023,BIGUES I RIELLS,6,TERCIARI,7056556,
2013,BARCELONA,VALLES ORIENTAL,08023,BIGUES I RIELLS,7,USOS DOMESTICS,14123826,
2013,BARCELONA,BERGUEDA,08024,BORREDA,1,PRIMARI,32063,
2013,BARCELONA,BERGUEDA,08024,BORREDA,3,INDUSTRIAL,161355,
2013,BARCELONA,BERGUEDA,08024,BORREDA,4,CONSTRUCCIO I OBRES PUBLIQUES,25269,
